timestamp,machine_id,temperature,vibration,pressure,rpm,operating_hours,maintenance_count,machine_age_years,load_percentage,failure
2023-01-01 00:00:00,M_01,74.05,1.463,103.57,2858,1,0,6.0,59.7,0
2023-01-01 01:00:00,M_01,,1.141,99.58,2834,2,0,6.0,59.2,0
2023-01-01 02:00:00,M_01,74.83,1.209,102.87,2833,3,0,6.0,59.8,0
2023-01-01 03:00:00,M_01,70.32,1.166,98.43,2869,4,0,6.0,53.9,0
2023-01-01 04:00:00,M_01,69.99,0.962,99.52,2831,5,0,6.0,47.2,0
2023-01-01 05:00:00,M_01,72.56,0.966,99.37,2847,6,0,6.0,53.9,0
2023-01-01 06:00:00,M_01,74.01,1.082,101.35,2814,7,0,6.0,57.9,0
2023-01-01 07:00:00,M_01,71.6,,101.02,2851,8,0,6.0,52.7,0
2023-01-01 08:00:00,M_01,75.64,1.283,107.71,2866,9,0,6.0,76.3,0
2023-01-01 09:00:00,M_01,76.96,1.856,104.7,2934,10,0,6.0,94.1,0
2023-01-01 10:00:00,M_01,76.92,1.654,101.5,2912,11,0,6.0,80.6,0
2023-01-01 11:00:00,M_01,80.27,1.707,106.28,2932,12,0,6.0,100.0,0
2023-01-01 12:00:00,M_01,79.4,1.65,102.6,2945,13,0,6.0,90.1,0
2023-01-01 13:00:00,M_01,77.96,1.767,104.98,2862,14,0,6.0,89.3,0
2023-01-01 14:00:00,M_01,76.46,1.479,105.27,2875,15,0,6.0,87.1,0
2023-01-01 15:00:00,M_01,77.86,1.612,105.53,2890,16,0,6.0,86.2,0
2023-01-01 16:00:00,M_01,81.51,1.766,104.43,2929,17,0,6.0,93.5,0
2023-01-01 17:00:00,M_01,74.33,1.233,101.75,2841,18,0,6.0,65.7,0
2023-01-01 18:00:00,M_01,82.65,1.508,105.58,2936,19,0,6.0,91.3,0
2023-01-01 19:00:00,M_01,74.08,0.959,102.91,2856,20,0,6.0,55.6,0
2023-01-01 20:00:00,M_01,72.62,1.182,101.06,2860,21,0,6.0,54.9,0
2023-01-01 21:00:00,M_01,67.76,0.712,99.87,2756,22,0,6.0,35.6,0
2023-01-01 22:00:00,M_01,72.26,1.056,100.97,2834,23,0,6.0,61.4,0
2023-01-01 23:00:00,M_01,68.11,0.972,,2805,24,0,6.0,43.2,0
2023-01-02 00:00:00,M_01,70.87,0.896,99.61,2819,25,0,6.0,43.2,0
2023-01-02 01:00:00,M_01,71.85,1.062,101.79,2788,26,0,6.0,50.9,0
2023-01-02 02:00:00,M_01,72.95,1.058,102.21,2885,27,0,6.0,54.5,0
2023-01-02 03:00:00,M_01,69.5,0.752,99.71,2849,28,0,6.0,47.6,0
2023-01-02 04:00:00,M_01,71.93,1.039,102.54,2828,29,0,6.0,51.3,0
